,lat,lon,MWS,CPSL,shum,ciz,vvr,vor,Rp
0,21.0,-93.0,46.25,1008,3741.69,13.24,-0.13,94.53,749.96
1,20.9,-92.8,46.25,1009,3777.23,14.9,-0.1,110.13,755.68
2,20.7,-93.1,46.25,1010,3750.44,15.63,-0.07,106.59,658.86
3,20.8,-93.5,46.25,1010,3670.07,16.07,-0.07,109.16,666.72
4,27.5,-95.0,74.0,1007,2348.03,15.49,-0.26,173.82,528.34
5,28.5,-95.3,92.5,1002,2195.05,15.62,-0.18,177.4,570.16
6,28.9,-95.3,83.25,1003,2136.48,16.17,-0.11,163.69,759.43
7,29.3,-95.3,83.25,1003,2112.57,15.42,-0.03,151.02,951.8
8,30.1,-95.2,55.5,1006,2047.59,13.13,-0.16,112.71,890.89
9,31.0,-95.2,37.0,1005,2130.64,12.09,-0.16,175.94,622.7
10,31.5,-95.0,37.0,1005,2320.56,11.91,-0.07,246.4,599.72
11,31.6,-95.0,37.0,1005,2093.34,12.22,-0.01,134.4,741.21
12,31.8,-94.9,37.0,1006,2087.73,11.21,-0.09,152.04,671.67
13,31.4,-94.9,37.0,1006,2858.35,11.670000076293944,-0.2599999904632568,457.21,403.62
14,31.1,-95.0,27.75,1007,2597.07,10.789999961853027,-0.0900000035762786,353.92,445.69
15,30.9,-95.6,27.75,1002,2169.51,14.96,-0.03,110.95,1066.86
16,30.7,-96.1,37.0,1004,2090.46,14.89,-0.09,145.39,670.18
17,30.4,-96.2,37.0,1007,2277.16,11.23,-0.08,168.05,805.26
18,30.2,-96.1,37.0,1007,2486.1,12.29,-0.07,182.02,721.88
19,29.9,-95.9,37.0,1007,2512.38,14.69,-0.1,145.25,874.78
20,29.6,-95.8,37.0,1007,2449.57,14.869999885559082,-0.1099999994039535,285.63,480.32
21,29.3,-95.8,37.0,1007,2676.11,16.190000534057617,-0.1800000071525573,369.37,420.13
22,28.9,-95.6,37.0,1008,2134.6,16.61,-0.11,213.23,623.31
23,28.6,-95.2,37.0,1008,1927.24,13.92,-0.03,130.52,763.39
24,28.6,-94.7,46.25,1007,1651.57,15.01,-0.09,115.92,784.56
25,28.7,-94.3,46.25,1006,1551.05,15.07,-0.12,186.82,522.49
26,28.8,-93.5,55.5,1006,1606.58,14.74,-0.13,217.12,562.13
27,29.1,-92.3,55.5,1005,1486.38,13.98,-0.04,157.94,578.34
28,29.6,-91.6,55.5,1004,1470.76,15.3,-0.03,134.65,685.78
29,30.0,-90.5,64.75,1003,1964.82,17.719999313354492,-0.3199999928474426,420.89,389.38
30,30.7,-89.4,74.0,1000,1620.19,20.06,-0.18,215.37,511.83
31,31.0,-88.4,64.75,1002,1537.15,17.21,-0.1,145.01,755.26
32,31.3,-87.4,46.25,1004,1426.91,14.5,-0.06,145.12,587.31
33,31.8,-86.1,37.0,1005,1382.68,15.59,-0.16,146.03,688.54
34,32.4,-84.7,37.0,1006,1528.01,12.15,-0.1,176.3,588.54
35,32.8,-83.6,37.0,1006,1757.99,13.239999771118164,-0.0700000002980232,262.76,489.84
36,33.1,-82.6,37.0,1006,1659.37,12.04,-0.05,103.58,666.42
37,33.4,-81.6,46.25,1004,1723.04,10.41,-0.0,100.39,639.49
38,33.7,-80.7,46.25,1005,1659.56,9.04,-0.06,116.39,599.31
39,34.0,-79.6,46.25,1006,1831.99,7.47,-0.05,185.12,521.43
40,34.3,-78.5,46.25,1006,2131.44,7.41,-0.01,167.65,674.17
41,34.6,-77.9,46.25,1006,2782.93,11.880000114440918,-0.0599999986588954,553.51,366.42
42,34.7,-77.7,46.25,1007,2699.08,9.170000076293944,-0.0299999993294477,415.18,418.08
43,34.6,-77.6,46.25,1008,2199.12,7.43,-0.09,213.38,552.03
44,34.6,-77.2,46.25,1008,2155.24,10.09,-0.01,217.95,522.17
45,34.9,-77.0,46.25,1008,3734.7,10.09000015258789,-0.1299999952316284,1547.54,188.3
46,30.3,-78.3,46.25,1010,2709.98,12.07,-0.1,193.74,749.38
47,31.0,-78.8,46.25,1009,2980.24,11.71,-0.06,162.25,835.04
48,31.5,-79.0,46.25,1009,2827.54,13.55,0.01,130.23,814.99
49,31.6,-79.1,55.5,1009,3036.33,17.2,-0.11,170.0,726.38
50,31.6,-79.2,64.75,1009,3082.93,16.28,-0.12,172.23,830.16
51,31.5,-79.3,64.75,1007,3222.53,17.74,-0.06,192.98,932.45
52,31.4,-79.4,74.0,1005,3045.74,17.96,-0.09,172.92,938.0
53,31.3,-79.0,92.5,992,2983.39,18.57,-0.1,202.34,838.19
54,31.8,-78.7,92.5,993,2974.93,16.86,-0.19,230.62,766.36
55,32.4,-78.2,111.0,987,3327.24,16.94,-0.16,230.97,830.26
56,33.0,-77.4,129.5,983,3497.36,18.15,-0.09,234.04,626.35
57,34.2,-76.4,157.2,974,3507.5,17.23,-0.25,256.26,707.57
58,16.9,-84.0,46.25,1004,3804.98,13.36,-0.2,203.96,756.87
59,17.4,-83.9,55.5,1003,3843.82,14.12,-0.19,215.06,814.51
60,18.2,-83.9,64.75,1003,3897.77,16.66,-0.23,251.41,640.22
61,19.0,-84.0,64.75,1002,3539.28,17.71,-0.24,282.83,991.55
62,19.7,-84.1,64.75,1002,3652.5,14.58,-0.15,283.66,1035.67
63,20.4,-84.2,74.0,1001,3673.84,14.53,-0.11,293.64,812.14
64,21.2,-84.4,83.25,1000,3545.56,14.89,-0.12,337.26,682.14
65,21.8,-84.5,83.25,1000,3535.33,14.96,-0.13,339.65,640.58
66,23.0,-84.7,92.5,1000,3440.24,15.46,-0.26,305.01,763.78
67,24.9,-85.1,101.7,995,3476.54,16.94,-0.21,358.79,725.28
68,26.5,-85.6,111.0,990,3367.52,16.98,-0.1,334.11,571.51
69,26.5,-85.6,111.0,989,3257.92,16.46,-0.08,326.82,620.25
70,27.7,-86.8,111.0,993,3136.59,15.260000228881836,-0.270000010728836,427.63,497.92
71,28.9,-87.2,101.7,990,2612.08,17.0,-0.15,323.98,540.86
72,30.1,-87.5,92.5,991,2354.03,18.35,-0.09,319.75,597.21
73,30.3,-87.5,92.5,991,2425.75,18.239999771118164,-0.1400000005960464,461.25,484.54
74,31.4,-87.6,55.5,994,2431.7,19.13999938964844,-0.3199999928474426,654.5,382.68
75,32.7,-87.7,46.25,998,2594.11,20.6200008392334,-0.1899999976158142,771.25,376.82
76,20.0,-85.0,46.25,1004,2986.97,15.09,-0.19,205.25,950.21
77,21.0,-85.3,55.5,1003,3070.64,16.85,-0.3,233.38,623.7
78,21.9,-85.7,55.5,1003,2931.02,18.61,-0.26,251.39,704.92
79,22.5,-86.3,64.75,1003,2931.45,19.22,-0.12,242.09,889.92
80,23.1,-87.1,64.75,1003,2722.92,18.23,-0.14,216.24,953.29
81,23.6,-87.8,74.0,1002,2233.47,16.32,-0.12,256.14,931.49
82,24.3,-87.8,74.0,1004,2159.34,15.38,-0.12,265.75,1052.72
83,25.0,-87.8,74.0,1004,2017.05,16.53,-0.08,241.56,840.83
84,25.8,-87.4,83.25,1004,1909.88,20.31,-0.22,250.13,746.49
85,26.8,-86.3,111.0,1000,2191.45,22.87,-0.28,233.93,816.42
86,27.5,-85.4,111.0,997,2245.56,23.54,-0.23,220.46,878.64
87,28.0,-85.0,111.0,995,2092.86,22.52,-0.17,231.56,1059.85
88,28.8,-84.4,101.7,995,1947.14,23.05,-0.14,241.45,1025.22
89,29.5,-84.1,83.25,996,2152.19,18.0,-0.16,238.48,848.3
90,29.9,-83.7,74.0,998,2244.9,18.71,-0.12,258.44,844.64
91,30.3,-83.5,64.75,997,2295.32,19.37,-0.12,257.94,879.5
