,Country Code,Country,Continent,Population,Infant mortality,Life Expectancy
0,DZA,Algeria,Africa,40606052,31.0,76.8
1,AGO,Angola,Africa,28813463,191.19,56.0
2,BEN,Benin,Africa,10872298,85.0,61.9
3,BWA,Botswana,Africa,2250260,54.58,54.5
4,BFA,Burkina Faso,Africa,18646433,97.57,55.5
5,BDI,Burundi,Africa,10524117,69.29,60.5
6,CPV,Cabo Verde,Africa,539560,47.77,72.1
7,CMR,Cameroon,Africa,23439189,68.26,58.5
8,CAF,Central African Republic,Africa,4594621,91.0,52.3
9,TCD,Chad,Africa,14452543,93.82,50.2
10,COM,Comoros,Africa,795601,74.93,64.2
11,COD,Democratic Republic of the Congo,Africa,78736153,94.69,57.3
12,COG,Republic of the Congo,Africa,5125821,93.86,59.3
13,CIV,Côte d'Ivoire,Africa,23695919,90.83,58.7
14,DJI,Djibouti,Africa,942333,104.13,63.2
15,EGY,Egypt,Africa,95688681,32.59,72.7
16,GNQ,Equatorial Guinea,Africa,1221490,85.13,64.2
17,ETH,Ethiopia,Africa,102403196,95.32,62.2
18,GAB,Gabon,Africa,1979786,53.64,52.1
19,GMB,The Gambia,Africa,2038501,72.02,64.9
20,GHA,Ghana,Africa,28206728,51.43,66.6
21,GIN,Guinea,Africa,12395924,90.37,60.6
22,GNB,Guinea-Bissau,Africa,1815698,107.17,50.6
23,KEN,Kenya,Africa,48461567,61.47,64.0
24,LSO,Lesotho,Africa,2203821,84.23,53.0
25,LBR,Liberia,Africa,4613823,128.87,59.0
26,LBY,Libya,Africa,6293253,24.6,76.5
27,MDG,Madagascar,Africa,24894551,76.83,65.9
28,MWI,Malawi,Africa,18091575,103.32,61.2
29,MLI,Mali,Africa,17994837,116.79,55.8
30,MRT,Mauritania,Africa,4301018,70.89,63.0
31,MUS,Mauritius,Africa,1263473,15.03,75.6
32,MAR,Morocco,Africa,35276786,41.62,76.9
33,MOZ,Mozambique,Africa,28829476,130.79,53.3
34,NAM,Namibia,Africa,2479713,48.98,63.6
35,NER,Niger,Africa,20672987,121.69,55.5
36,NGA,Nigeria,Africa,185989640,98.8,53.4
37,RWA,Rwanda,Africa,11917508,91.23,60.1
38,STP,Sao Tome and Principe,Africa,199910,43.11,64.9
39,SEN,Senegal,Africa,15411614,55.51,61.7
40,SYC,Seychelles,Africa,94677,15.53,74.7
41,SLE,Sierra Leone,Africa,7396190,143.64,58.2
42,SOM,Somalia,Africa,14317996,116.7,52.4
43,ZAF,South Africa,Africa,55908865,61.81,63.1
44,SDN,Sudan,Africa,39578828,62.5,64.1
45,SSD,South Sudan,Africa,12230730,58.1,56.8
46,SWZ,Swaziland,Africa,1343098,69.27,51.6
47,TZA,Tanzania,Africa,55572201,98.54,62.2
48,TGO,Togo,Africa,7606374,66.61,65.0
49,TUN,Tunisia,Africa,11403248,24.77,76.1
50,UGA,Uganda,Africa,41487965,67.83,55.4
51,ZMB,Zambia,Africa,16591390,88.29,52.5
52,ZWE,Zimbabwe,Africa,16150362,67.69,58.0
53,AFG,Afghanistan,Asia,34656032,163.07,51.3
54,BHR,Bahrain,Asia,1425171,17.27,78.9
55,BGD,Bangladesh,Asia,162951560,62.6,73.2
56,BTN,Bhutan,Asia,797765,100.44,70.1
57,BRN,Brunei,Asia,423196,12.61,77.2
58,KHM,Cambodia,Asia,15762370,71.48,64.5
59,CHN,China,Asia,1378665000,24.18,75.5
60,HKG,Hong Kong,Asia,7346700,2.97,82.9
61,IND,India,Asia,1324171354,56.29,68.5
62,IDN,Indonesia,Asia,261115456,35.6,72.7
63,IRN,Iran,Asia,80277428,41.58,71.4
64,IRQ,Iraq,Asia,37202572,50.25,74.9
65,ISR,Israel,Asia,8547100,7.03,82.4
66,JPN,Japan,Asia,126994511,3.26,85.0
67,JOR,Jordan,Asia,9455802,17.35,74.6
68,KAZ,Kazakhstan,Asia,17797032,29.21,70.8
69,PRK,North Korea,Asia,25368620,24.04,70.4
70,KOR,South Korea,Asia,51245707,7.05,82.4
71,KWT,Kuwait,Asia,4052584,9.95,78.0
72,KGZ,Kyrgyzstan,Asia,6082700,35.64,70.7
73,LAO,Laos,Asia,6758353,85.22,64.3
74,LBN,Lebanon,Asia,6006668,24.52,77.6
75,MAC,Macau,Asia,612167,4.39,84.5
76,MYS,Malaysia,Asia,31187265,17.7,75.0
77,MDV,Maldives,Asia,417492,56.52,75.6
