Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Juriquilla (jqro), Queretaro
Lat 20.703 N, Lon 100.4473 W, Alt 1945 masl
Time UTC-6h
Air Quality data
Flags: OK = Reliable data, BDL = Below Detection Limit, OR = Out of Range, OS = Out of Service 
 
Time,O3,O3_flag,SO2,SO2_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag
yyyy-mm-dd HH:MM:SS,ppb,flag,ppb,flag,ppb,flag,ppb,flag,ppm,flag,ug/m^3,flag,ug/m^3,flag
2025-02-01 00:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,-31.15,OR,10.83,OK
2025-02-01 01:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,76.15,OK,7.13,OK
2025-02-01 02:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,31.27,OK,11.28,OK
2025-02-01 03:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,51.96,OK,7.85,OK
2025-02-01 04:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,23.88,OK,8.54,OK
2025-02-01 05:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,20.13,OK,7.68,OK
2025-02-01 06:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,18.86,OK,9.09,OK
2025-02-01 07:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,17.93,OK,16.21,OK
2025-02-01 08:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,15.4,OK,12.78,OK
2025-02-01 09:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,8.5,OK,1.61,BDL
2025-02-01 10:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,4.14,OK,7.0,OK
2025-02-01 11:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,18.26,OK,7.01,OK
2025-02-01 12:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,11.35,OK,5.97,OK
2025-02-01 13:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,8.7,OK,4.96,OK
2025-02-01 14:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,4.58,OK,5.94,OK
2025-02-01 15:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,12.08,OK,-6.87,OR
2025-02-01 16:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,-13.09,OR,4.88,OK
2025-02-01 17:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,46.69,OK,7.85,OK
2025-02-01 18:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,21.91,OK,9.57,OK
2025-02-01 19:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,34.15,OK,45.91,OK
2025-02-01 20:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,51.59,OK,31.56,OK
2025-02-01 21:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,56.77,OK,21.35,OK
2025-02-01 22:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,43.47,OK,21.96,OK
2025-02-01 23:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,38.57,OK,19.31,OK
2025-02-02 00:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,32.63,OK,15.37,OK
2025-02-02 01:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,32.23,OK,7.32,OK
2025-02-02 02:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,24.56,OK,10.84,OK
2025-02-02 03:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,27.98,OK,12.47,OK
2025-02-02 04:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,31.52,OK,13.26,OK
2025-02-02 05:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,11.67,OK,12.45,OK
2025-02-02 06:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,19.88,OK,16.06,OK
2025-02-02 07:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,18.71,OK,17.56,OK
2025-02-02 08:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,30.48,OK,22.12,OK
2025-02-02 09:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,19.79,OK,8.37,OK
2025-02-02 10:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,21.05,OK,9.35,OK
2025-02-02 11:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,15.46,OK,5.92,OK
2025-02-02 12:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,13.59,OK,7.15,OK
2025-02-02 13:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,-14.69,OR,2.63,BDL
2025-02-02 14:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,-14.74,OR,-0.59,BDL
2025-02-02 15:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,23.45,OK,7.29,OK
2025-02-02 16:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,16.53,OK,2.09,BDL
2025-02-02 17:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,12.49,OK,11.62,OK
2025-02-02 18:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,8.31,OK,-6.12,OR
2025-02-02 19:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,27.55,OK,33.98,OK
2025-02-02 20:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,44.29,OK,37.74,OK
2025-02-02 21:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,26.94,OK,18.71,OK
2025-02-02 22:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,41.02,OK,15.08,OK
2025-02-02 23:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,26.72,OK,18.25,OK
2025-02-03 00:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,30.88,OK,18.38,OK
2025-02-03 01:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,19.23,OK,6.38,OK
2025-02-03 02:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,15.54,OK,5.21,OK
2025-02-03 03:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,26.18,OK,10.75,OK
2025-02-03 04:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,20.79,OK,3.91,BDL
2025-02-03 05:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,20.57,OK,9.31,OK
2025-02-03 06:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,5.33,OK,14.23,OK
2025-02-03 07:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,28.01,OK,17.98,OK
2025-02-03 08:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,28.12,OK,20.06,OK
2025-02-03 09:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,12.92,OK,5.66,OK
2025-02-03 10:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,17.13,OK,6.44,OK
2025-02-03 11:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,-31.35,OR,7.24,OK
2025-02-03 12:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,-35.19,OR,4.99,OK
2025-02-03 13:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,-4.6,OR,-4.86,OR
2025-02-03 14:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,-1.27,BDL,-10.26,OR
2025-02-03 15:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,2.78,BDL,13.49,OK
2025-02-03 16:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,-0.62,BDL,-0.35,BDL
2025-02-03 17:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,2.95,BDL,-4.05,OR
2025-02-03 18:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,15.42,OK,9.43,OK
2025-02-03 19:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,40.02,OK,32.64,OK
2025-02-03 20:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,31.46,OK,40.49,OK
2025-02-03 21:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,48.89,OK,50.26,OK
2025-02-03 22:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,30.13,OK,20.07,OK
2025-02-03 23:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,18.24,OK,23.64,OK
2025-02-04 00:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,15.86,OK,19.71,OK
