No ,Localidad,Tipo,Clase Temp,T,pH,Eh,Na+,K+,Ca2+ ,HCO3 lab,SO42- ,Cl- ,SiO2
,,,,°C,,mV,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
1,EL Huizache,pozo,Temperatura baja,28.40,7.87,154.5,52.7,1.75,9.59,164.21,14.33,6.71,54.7
2,Santa Rosa,pozo,Temperatura baja,36.3,7.71,170.8,62.82,2.48,8.09,169.94,16.57,7.61,67.15
3,Santa Catarina,pozo,Temperatura baja,33.3,7.68,160.5,72.23,3.63,11.24,199.22,16.92,8.29,81.35
4,Ejido El Palomo,pozo,Temperatura baja,37.7,8.03,158.1,56.03,2.28,11.66,160.58,17.12,6.87,68.26
5,San Bartolo de Berrios,pozo,Temperatura baja,39.1,7.87,138,59.18,3.17,12.02,177.7,18.63,7.35,74.94
6,San José de Rancho Nuevo,pozo,Temperatura baja,28.3,6.97,148.9,27.14,9.73,18.68,199.7,10.03,7.01,80.79
7,Próximo a Agua Blanca,pozo,Temperatura baja,35.8,8.24,125.5,65.77,3.5,11.08,174.94,12.42,7.19,81
8,Rancho El Dorado,pozo,Temperatura baja,35.3,7.89,173.9,70.37,4.95,22.03,178.23,21.98,10.61,89.23
9,Rancho El Pájaro Azul,pozo,Temperatura baja,39,7.82,137.8,66.98,4.94,15.18,162.98,16.79,8.1,91.84
10,Rancho El Pájaro Azul,pozo,Temperatura baja,33.5,7.92,150.5,64.64,5.27,18.87,170.16,18.18,8.58,101.09
11,Rancho EL Perdón,pozo,Temperatura media,40.5,8.09,137.6,65.01,2.9,16.39,162.67,16.63,7.69,75.11
12,Rancho El Perdón,pozo,Temperatura baja,27.7,8.56,123.5,63.97,3.35,21.39,204.54,19.15,8.9,88.54
13,Las Margaritas,pozo,Temperatura baja,39.8,7.84,156.3,68.1,4.35,17.39,178.1,17.81,8.18,83.94
14,Invernaderos Payán,pozo,Temperatura media,40.3,7.94,157.7,65.61,3.04,18.94,174.65,21.39,9.49,70.84
15,Invernaderos Payán,pozo,Temperatura baja,30.5,8.4,137,66.11,3.29,19.37,173.17,19.68,8.7,74.09
16,Invernaderos Payán,pozo,Temperatura media,42.3,7.76,156,64.23,3.42,21.6,185.21,20.77,8.98,68.29
17,Lequeitio,pozo,Temperatura baja,35.2,7.76,140.1,64.16,4.84,20.83,166.66,22.39,9.92,83.33
18,"La profecía, exhacienda de lequeito",pozo,Temperatura baja,26.3,7.62,37,78.89,9.13,36.63,175.33,36.12,22.08,107.4
19,El Xilantro,pozo,Temperatura baja,39.3,7.78,174.4,60.02,2.95,16.9,165.75,16.24,7.44,73.27
20,El Xilantro,pozo,Temperatura media,42.8,7.72,143.3,62.48,3.06,18.17,161.15,16.08,7.65,75.04
