Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Juriquilla (jqro), Queretaro
Lat 20.703 N, Lon 100.4473 W, Alt 1945 masl
Time UTC-6h
Meteorological data
 
TIMESTAMP,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,Rain_Tot,Press_Avg,Rad_Avg
yyyy-mm-dd HH:MM:SS,�C,%,m/s,m/s,deg,mm,hPa,W/m^2
2025-03-01 00:00:00,19.73,35.65,1.938,3.96,164.2,0.0,806.356,-0.674
2025-03-01 01:00:00,18.86,37.77,1.307,3.38,143.7,0.0,806.352,-0.686
2025-03-01 02:00:00,17.6,40.56,0.855,1.41,65.5,0.0,806.167,-0.73
2025-03-01 03:00:00,16.58,42.79,0.98,2.69,130.7,0.0,806.041,-0.76
2025-03-01 04:00:00,15.47,46.03,2.195,3.94,140.9,0.0,805.905,-0.771
2025-03-01 05:00:00,15.03,47.81,1.865,3.09,137.1,0.0,805.789,-0.768
2025-03-01 06:00:00,14.52,48.65,1.493,2.46,150.1,0.0,806.068,-0.756
2025-03-01 07:00:00,13.84,49.88,0.851,1.91,61.3,0.0,806.472,-0.741
2025-03-01 08:00:00,14.11,48.94,1.589,2.26,131.8,0.0,807.019,-0.643
2025-03-01 09:00:00,16.04,44.69,1.828,3.35,159.0,0.0,807.824,-0.352
2025-03-01 10:00:00,18.86,41.07,2.462,4.88,181.6,0.0,808.659,0.038
2025-03-01 11:00:00,21.63,35.61,3.273,6.86,191.7,0.0,808.652,0.361
2025-03-01 12:00:00,24.42,30.24,3.431,7.66,181.3,0.0,809.191,0.77
2025-03-01 13:00:00,29.52,26.97,3.821,7.54,176.6,0.0,813.858,1.647
2025-03-01 14:00:00,31.85,23.41,4.49,8.51,173.1,0.0,813.9,1.646
2025-03-01 15:00:00,33.08,20.09,4.568,9.14,190.1,0.0,813.103,1.612
2025-03-01 16:00:00,33.27,17.9,4.632,9.66,207.1,0.0,811.625,1.424
2025-03-01 17:00:00,33.02,16.3,3.987,8.81,254.7,0.0,810.622,1.273
2025-03-01 18:00:00,30.4,15.19,4.249,8.31,244.5,0.0,807.525,0.694
2025-03-01 19:00:00,26.13,15.06,4.481,8.15,231.9,0.0,803.868,-0.473
2025-03-01 20:00:00,24.21,17.91,3.125,6.91,244.8,0.0,804.436,-0.514
2025-03-01 21:00:00,22.74,18.85,1.11,4.49,342.3,0.0,805.108,-0.58
2025-03-01 22:00:00,21.12,24.97,2.474,4.53,31.2,0.0,805.692,-0.627
