,PM10,PM2.5,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,Rain_Tot,Press_Avg,Rad_Avg,PM2.5_5horasdeps,PM10_5horasdeps,Time
0,24.02,6.45,14.05,26.32,2.517,6.33,74.9,0.0,807.889,-0.664,13.37,19.32,2025-01-01 00:00:00
1,8.14,15.45,13.49,25.87,2.925,6.6,69.1,0.0,807.854,-0.668,46.68,38.07,2025-01-01 01:00:00
2,4.74,10.11,12.9,27.23,3.22,5.94,75.0,0.0,807.906,-0.669,49.31,50.55,2025-01-01 02:00:00
3,17.02,11.99,11.89,29.65,3.019,6.87,58.5,0.0,807.67,-0.686,33.16,29.24,2025-01-01 03:00:00
4,19.32,13.37,9.75,33.57,2.726,5.09,19.4,0.0,807.355,-0.713,31.52,32.41,2025-01-01 04:00:00
5,38.07,46.68,7.99,36.4,1.605,2.98,355.1,0.0,807.286,-0.756,23.24,38.09,2025-01-01 05:00:00
6,50.55,49.31,8.28,34.49,1.945,3.47,348.0,0.0,807.379,-0.794,1.27,31.11,2025-01-01 06:00:00
7,29.24,33.16,7.61,36.5,2.91,4.08,5.4,0.0,807.768,-0.796,0.89,16.82,2025-01-01 07:00:00
8,32.41,31.52,6.8,39.33,2.67,3.84,8.1,0.0,808.336,-0.736,2.1,3.87,2025-01-01 08:00:00
9,38.09,23.24,8.91,32.24,2.403,3.59,356.3,0.0,808.948,-0.513,-8.02,3.91,2025-01-01 09:00:00
10,13.26,13.22,27.24,12.78,2.58,5.12,170.7,0.0,814.513,1.433,47.32,23.83,2025-01-01 16:00:00
11,10.51,24.76,27.1,12.73,1.968,4.4,173.0,0.0,814.162,1.206,37.58,47.29,2025-01-01 17:00:00
12,31.18,29.3,25.67,13.45,2.672,6.74,137.2,0.0,813.742,1.05,38.22,38.33,2025-01-01 18:00:00
13,42.48,42.59,19.14,14.76,4.325,7.76,66.2,0.0,807.828,-0.227,32.34,38.58,2025-01-01 19:00:00
