Year,sst_mean_SON,sst_mean_OND,sst_mean_NDE,sst_mean_DJF,sst_mean_Jan,spi,pcp_SON,pcp_OND,pcp_NDE,pcp_DJF,pcp_Jan,hgt_SON,hgt_OND,hgt_NDE,hgt_DJF,hgt_Jan,olr_SON,olr_OND,olr_NDE,olr_DJF,olr_Jan,skt_SON,skt_OND,skt_NDE,skt_DJF,skt_Jan,swvl1_SON,swvl1_OND,swvl1_NDE,swvl1_DJF,swvl1_Jan
1981,26.295703,26.241972333333333,26.281063,26.407555333333335,26.583525,-0.6720884,90.611435,34.211945,18.819138,23.249588,5.940817,4431.179,4414.1177,4402.1074,4391.535,4395.871,266.25702,265.02,261.7346,256.32935,257.63474,294.19766,291.48044,289.14413,289.32132,288.82553,0.29650927,0.23857254,0.22501026,0.20660178,0.060150977
1982,28.341489666666664,28.636714333333334,28.704207666666665,28.716984333333333,28.718637,0.5515389,129.2133,89.71679,62.293777,56.149323,30.921799,4421.3413,4400.64,4378.887,4352.721,4357.032,257.14157,250.98222,244.97343,248.58508,238.72034,293.33524,289.6448,286.61465,285.9,284.2029,0.3081891,0.32274127,0.3876071,0.37884295,0.20282777
1983,25.75412233333333,25.448048,25.405422666666666,25.782886333333334,25.4886,0.25621858,80.5097,31.19991,47.168045,40.461422,30.19357,4425.3257,4411.6743,4392.8574,4379.268,4378.2583,261.4955,267.15274,253.91402,247.67094,231.2516,292.8235,290.70163,287.9385,286.11597,284.93808,0.4014364,0.24447495,0.3067929,0.44966018,0.17958115
1984,25.860297333333335,25.449453333333334,25.195421999999997,25.30990733333333,25.162136,0.14193423,61.921604,38.681725,32.634262,39.615967,16.771132,4420.651,4418.059,4400.984,4389.627,4375.1934,257.8285,261.2825,254.18745,245.90265,238.75365,292.55923,291.475,288.1389,287.9788,284.6058,0.37612963,0.23488416,0.2672897,0.29330233,0.13640995
1985,26.008694666666667,26.037523000000004,25.977029666666667,25.87103833333333,25.767262,-0.8557513,51.62327,48.38649,31.393246,35.15777,5.0783777,4418.1177,4406.062,4398.524,4390.934,4393.7744,265.9378,259.00192,256.1346,255.53215,255.5264,294.60364,291.35147,289.12784,288.3929,287.57596,0.25117823,0.25218505,0.20122811,0.21040186,0.060556218
1986,27.227815000000003,27.330555,27.410465333333335,27.47914,27.482958,1.5327102,80.52373,58.589485,60.718857,75.77043,35.35299,4427.89,4406.3027,4387.765,4366.6016,4368.2583,249.53246,245.50914,245.30632,238.29565,244.58586,292.2592,289.15494,286.39755,285.69424,283.76614,0.5438405,0.51908994,0.5232136,0.48781878,0.21908462
1987,27.777727,27.543671333333332,27.372933666666665,27.132331333333337,27.171257,0.20639206,99.34044,35.38478,39.115124,41.11133,15.54006,4427.473,4413.5757,4395.8984,4392.146,4384.355,260.2545,249.26729,240.38924,236.33887,242.25977,292.19632,289.50998,287.35464,287.24475,285.0718,0.42313153,0.30289504,0.30315176,0.2957892,0.13478112
1988,24.947534,24.533749333333333,24.476583666666667,24.70833433333333,24.448359,-0.8403052,92.7094,32.570236,26.523586,23.472477,12.070163,4425.136,4419.8013,4412.4785,4412.0737,4406.8066,262.3533,258.4906,249.99316,248.14104,243.65427,292.922,290.88553,289.72937,289.5818,289.6089,0.3836211,0.26910138,0.22708276,0.22710228,0.08433363
1989,26.15556266666667,26.220419000000003,26.304951666666668,26.49094666666667,26.39617,0.9084464,47.8188,55.86886,51.415546,65.22421,8.350421,4420.9688,4405.278,4392.396,4385.4395,4390.1934,263.04025,253.83983,242.90381,236.88147,240.09831,293.02142,289.08163,286.7166,286.22665,286.71423,0.2891643,0.36760014,0.4284816,0.4275066,0.13659666
1990,26.733438666666668,26.780423,26.765334,26.820593666666667,26.842781,-0.61208725,146.27711,63.091454,17.345264,25.992489,5.888661,4429.5244,4418.0176,4401.179,4391.0513,4377.2905,254.79793,257.13358,251.35938,243.19417,240.99393,292.06937,290.09464,289.13693,288.8009,288.64658,0.56348795,0.35314724,0.20280173,0.21197538,0.061686452
