name	year	month	day	hour	lat	long	status	category	wind	pressure	tropicalstorm_force_diameter	hurricane_force_diameter
AL011975	1975	6	24	12	32.5	-52	tropical depression		20	-999	-1998	-1998
AL011975	1975	6	24	18	32.6	-52.6	tropical depression		25	-999	-1998	-1998
AL011975	1975	6	25	0	32.7	-53.2	tropical depression		25	-999	-1998	-1998
AL011975	1975	6	25	60	32.8	-53.2	tropical depression		25	-999	-1998	-1998
AL011975	1975	6	25	12	33	-54.5	tropical depression		25	-999	-1998	-1998
AL011975	1975	6	25	18	33	-55.1	tropical depression		30	-999	-1998	-1998
AL011975	1975	6	26	0	33	-55.7	tropical depression		30	-999	-1998	-1998
AL011975	1975	6	26	60	33	-56.3	tropical depression		30	-999	-1998	-1998
AL011975	1975	6	26	12	33	-57	tropical depression		30	-999	-1998	-1998
AL011975	1975	6	26	18	32.6	-57.4	tropical depression		30	-999	-1998	-1998
AL011975	1975	6	27	0	32.2	-57.8	tropical depression		25	-999	-1998	-1998
AL011975	1975	6	27	60	31.9	-58.1	tropical depression		25	-999	-1998	-1998
AL011975	1975	6	27	12	31.5	-58.5	tropical depression		25	-999	-1998	-1998
AL011975	1975	6	27	18	32.5	-57.8	tropical depression		25	-999	-1998	-1998
AL011975	1975	6	28	0	33.5	-57	tropical depression		25	-999	-1998	-1998
AL011975	1975	6	28	60	34.5	-56.3	tropical depression		30	-999	-1998	-1998
AL011975	1975	6	28	12	35.5	-55.5	tropical depression		30	-999	-1998	-1998
AL011975	1975	6	28	18	36.7	-55.8	tropical depression		30	-999	-1998	-1998
AL011975	1975	6	29	0	37.8	-56.2	tropical depression		25	-999	-1998	-1998
AL011975	1975	6	29	60	38.9	-56.6	tropical depression		25	-999	-1998	-1998
AL011975	1975	6	29	12	40	-57	tropical depression		20	-999	-1998	-1998
                Amy	1975	6	27	0	27.5	-79	tropical depression		25	1013	-1998	-1998
                Amy	1975	6	27	60	28.5	-79	tropical depression		25	1013	-1998	-1998
                Amy	1975	6	27	12	29.5	-79	tropical depression		25	1013	-1998	-1998
                Amy	1975	6	27	18	30.5	-79	tropical depression		25	1013	-1998	-1998
                Amy	1975	6	28	0	31.5	-78.8	tropical depression		25	1012	-1998	-1998
                Amy	1975	6	28	60	32.4	-78.7	tropical depression		25	1012	-1998	-1998
                Amy	1975	6	28	12	33.3	-78	tropical depression		25	1011	-1998	-1998
                Amy	1975	6	28	18	34	-77	tropical depression		30	1006	-1998	-1998
                Amy	1975	6	29	0	34.4	-75.8	tropical storm		35	1004	-1998	-1998
                Amy	1975	6	29	60	34	-74.8	tropical storm		40	1002	-1998	-1998
                Amy	1975	6	29	12	33.8	-73.8	tropical storm		45	1000	-1998	-1998
                Amy	1975	6	29	18	33.8	-72.8	tropical storm		50	998	-1998	-1998
